BookingID,User_Id,offer_Id,BookingDate,Status,Quantity
1,55503D29B0296F5F57EEB923DD4A6FA7,1023,8/15/2023,Cancelled,1
2,A8ED21629F2DA0FDC6691CA9ED2669FE,2825,9/11/2023,Cancelled,2
3,FA144DE06FD2A4631363E0E717B09107,2360,8/5/2023,Confirmed,4
4,27B80F534B730E519FA3F53243D8556D,1364,9/13/2023,Cancelled,2
5,B7F0E52F6C7456DB1557B2D288A61CBC,3929,7/22/2023,Pending,5
6,E33B9A47CDCE3A7BF44F3310D8F7DB00,2804,7/7/2023,Pending,3
7,992E25A2E2C72A6ED2886285054D2D81,3041,9/6/2023,Confirmed,2
8,3F0955959FC19709D11C373F4E782423,4401,9/9/2023,Confirmed,1
9,E866224D744920AED1E4137D46FE7B05,1247,6/18/2023,Pending,1
10,1BB3F71B63F98D9A93DE8BEDA263D656,4924,7/14/2023,Cancelled,2
11,927404B84D968DB86F0FA77C7D6475E9,2734,11/13/2023,Confirmed,5
12,338743B1895103FA90A4B6171E4D5DE4,1555,9/15/2023,Confirmed,5
13,7558AEDEA68A790B5A6800DE6DC70B56,3183,7/20/2023,Confirmed,5
14,65EF1347C62A2B1D4C1B795587E99B08,3515,10/11/2023,Confirmed,5
15,03248EC0DA90D5FD42E1750E4ED93ED9,3945,8/10/2023,Cancelled,1
16,B76523187DF13FC64F15B3375616F34F,3239,10/18/2023,Pending,5
17,458F09106093A16ABCA1D085E0F134E4,4910,6/22/2023,Pending,2
18,890B59EBB0D99AE2BC0F82BF6D57B145,4467,8/2/2023,Cancelled,5
19,A583B2BB6DA01881875A4D3D615E8BA7,699,10/5/2023,Cancelled,2
20,E2A7C8CA0F07125575FE6EDAADEF11A9,4945,9/17/2023,Pending,1
21,F933BD3869475CA700757C175496E022,4941,10/30/2023,Confirmed,1
22,A3A2FED40CBB6B80FEB616065698D4C4,2149,7/21/2023,Pending,2
23,EA13EDE3A2AE1196B809461434AA9FAF,3250,10/21/2023,Confirmed,3
24,3437A8D5ED80A215C7CC5FD35DE29CA4,2436,8/13/2023,Cancelled,4
25,7E979619E163BA7F7DB50662BA656BA8,148,11/18/2023,Confirmed,1
26,2A6FC148C78E8C49014CA01A6C6CF309,656,6/13/2023,Cancelled,3
27,3E2C54A2A57535182F6D67ECBD605856,1579,11/21/2023,Cancelled,1
28,B4FDA10ED56347360B4EBF7E49F99466,3447,11/26/2023,Cancelled,3
