Offers_Id,Business_Id,Price,Description,DiscountPercentage,StartDate,EndDate
1,15245287,155,Special Combo,23,7/25/2023,10/31/2024
2,2035431,31,Special Combo,14,5/8/2023,11/5/2024
3,12148821,118,Buy 1 Get 1,11,1/3/2023,5/12/2024
4,14985298,115,Discount on meals,28,2/22/2023,7/23/2024
5,939748,70,Discount on meals,17,11/7/2023,12/29/2024
6,15174135,175,Happy Hour,21,3/22/2023,12/22/2024
7,1062933,10,Buy 1 Get 1,17,11/29/2023,7/26/2024
8,424322,60,Buy 1 Get 1,43,2/24/2023,11/27/2024
9,11838823,131,Discount on meals,47,4/28/2023,4/2/2024
10,2399945,179,Buy 1 Get 1,11,8/1/2023,4/23/2024
11,4824946,121,Happy Hour,41,1/31/2023,1/27/2024
12,15175417,151,Happy Hour,30,8/29/2023,7/1/2024
13,4821850,129,Discount on meals,30,8/28/2023,5/12/2024
14,13414712,182,Buy 1 Get 1,42,3/3/2023,6/24/2024
15,5102829,64,Special Combo,41,12/21/2023,8/24/2024
16,4295379,107,Special Combo,41,9/2/2023,9/28/2024
17,2051482,88,Happy Hour,35,8/5/2023,8/27/2024
18,3717615,17,Happy Hour,49,10/10/2023,9/5/2024
19,4252806,30,Special Combo,24,5/14/2023,2/7/2024
20,457150,17,Happy Hour,37,6/16/2023,8/28/2024
21,2645937,105,Buy 1 Get 1,13,7/23/2023,12/6/2024
22,2535799,78,Special Combo,10,2/7/2023,12/12/2024
23,3786331,196,Discount on meals,37,12/7/2023,2/19/2024
24,5076815,149,Buy 1 Get 1,28,12/2/2023,9/10/2024
25,560573,164,Discount on meals,45,8/21/2023,6/24/2024
26,4355554,33,Special Combo,13,12/2/2023,2/21/2024
27,10345132,114,Happy Hour,35,10/26/2023,12/23/2024
28,4368824,135,Happy Hour,14,7/31/2023,2/7/2024
29,3838130,181,Discount on meals,20,1/20/2023,8/30/2024
30,6404858,161,Buy 1 Get 1,32,9/6/2023,7/5/2024
31,424094,145,Buy 1 Get 1,5,2/22/2023,11/9/2024
32,17417136,75,Special Combo,29,1/5/2023,12/1/2024
33,6404433,187,Special Combo,15,10/14/2023,12/8/2024
34,10624534,85,Special Combo,44,9/6/2023,11/30/2024
35,3802726,90,Happy Hour,18,7/11/2023,7/8/2024
36,423401,33,Happy Hour,9,10/29/2023,11/13/2024
37,4729316,89,Discount on meals,34,9/18/2023,9/20/2024
38,2715539,192,Buy 1 Get 1,39,5/3/2023,10/16/2024
39,11722677,121,Special Combo,7,7/13/2023,11/15/2024
40,14789194,183,Discount on meals,39,7/27/2023,5/2/2024
41,5051101,20,Special Combo,21,12/14/2023,9/25/2024
42,7284388,133,Special Combo,30,7/21/2023,10/31/2024
43,4748432,157,Buy 1 Get 1,34,11/27/2023,7/21/2024
44,12904106,52,Happy Hour,49,5/5/2023,7/26/2024
45,10052720,82,Special Combo,16,3/1/2023,6/1/2024
46,4399959,73,Buy 1 Get 1,45,4/8/2023,12/24/2024
47,3519401,172,Special Combo,49,11/27/2023,6/25/2024
48,2018744,91,Discount on meals,23,3/31/2023,6/28/2024
49,4417977,65,Buy 1 Get 1,37,7/12/2023,2/12/2024
50,14212640,105,Discount on meals,46,4/14/2023,12/14/2024
51,479241,30,Buy 1 Get 1,19,3/28/2023,2/27/2024
52,11864500,50,Buy 1 Get 1,35,1/28/2023,2/23/2024
53,2460443,122,Special Combo,25,6/29/2023,8/18/2024
54,479364,43,Buy 1 Get 1,24,2/13/2023,12/1/2024
55,625228,139,Special Combo,10,6/30/2023,2/19/2024
56,4398504,123,Buy 1 Get 1,30,1/15/2023,9/25/2024
57,2417369,87,Happy Hour,41,6/11/2023,6/25/2024
58,549205,68,Discount on meals,5,7/19/2023,9/1/2024
59,534671,78,Special Combo,34,2/11/2023,6/4/2024
60,4731323,59,Discount on meals,25,10/9/2023,2/29/2024
61,423389,78,Special Combo,47,12/27/2023,4/2/2024
62,458211,84,Buy 1 Get 1,34,9/21/2023,4/21/2024
63,3736630,24,Happy Hour,8,4/2/2023,4/7/2024
64,827442,106,Happy Hour,19,11/27/2023,12/6/2024
