Payment_Id,BookingID,Total_Price,PaymentMethod,Status,Created_At
1,2413,242,Cash,Failed,10/23/2023
2,124,231,Credit Card,Completed,8/16/2023
3,3003,176,Cash,Failed,9/4/2023
4,7946,221,Cash,Pending,11/22/2023
5,6989,437,Credit Card,Completed,8/10/2023
6,5065,399,PayPal,Completed,8/28/2023
7,6575,371,PayPal,Completed,10/14/2023
8,6997,440,Cash,Failed,12/23/2023
9,7341,242,Credit Card,Failed,9/1/2023
10,3578,337,Cash,Pending,10/6/2023
11,4419,319,Credit Card,Completed,8/26/2023
12,260,468,Credit Card,Failed,8/2/2023
13,4121,457,PayPal,Failed,8/21/2023
14,5812,441,Cash,Completed,11/23/2023
15,3953,169,PayPal,Pending,9/13/2023
16,3495,393,Credit Card,Completed,12/20/2023
17,2848,144,Credit Card,Pending,8/7/2023
18,7379,103,PayPal,Pending,11/12/2023
19,6411,341,Credit Card,Completed,10/7/2023
20,7593,332,PayPal,Pending,11/30/2023
21,4575,173,PayPal,Completed,10/31/2023
22,5014,357,PayPal,Completed,9/27/2023
23,4240,390,PayPal,Completed,7/14/2023
24,6963,430,Cash,Failed,11/1/2023
25,4281,460,Cash,Failed,11/17/2023
26,3465,286,Credit Card,Failed,8/8/2023
27,3988,146,Cash,Completed,8/18/2023
28,1487,407,Cash,Pending,8/27/2023
29,6532,499,PayPal,Failed,11/15/2023
30,3712,142,PayPal,Pending,9/15/2023
31,3544,375,PayPal,Failed,11/16/2023
32,4009,95,Cash,Completed,11/26/2023
33,6671,416,Credit Card,Pending,11/1/2023
34,6721,84,Credit Card,Completed,9/9/2023
35,7536,324,Credit Card,Pending,9/8/2023
36,2210,379,Cash,Failed,12/19/2023
37,1585,270,Credit Card,Pending,10/10/2023
38,7993,364,Credit Card,Failed,9/24/2023
39,6996,283,PayPal,Failed,10/15/2023
40,7109,238,PayPal,Failed,9/19/2023
41,3866,375,Credit Card,Pending,8/1/2023
42,3349,359,PayPal,Pending,7/11/2023
43,631,445,PayPal,Failed,11/29/2023
44,1270,155,Credit Card,Completed,8/17/2023
45,5814,253,PayPal,Failed,9/5/2023
46,4388,325,Cash,Completed,12/6/2023
47,6769,75,Cash,Failed,9/6/2023
48,7523,396,PayPal,Failed,12/20/2023
49,7488,74,Credit Card,Completed,7/30/2023
50,5911,387,Credit Card,Failed,11/8/2023
51,2586,237,Credit Card,Completed,9/27/2023
52,7036,447,Cash,Completed,9/10/2023
53,96,228,Cash,Failed,8/9/2023
54,2512,443,Credit Card,Failed,12/10/2023
55,6430,154,PayPal,Completed,8/20/2023
56,5844,56,PayPal,Completed,7/24/2023
57,1455,319,Credit Card,Completed,12/4/2023
58,1182,396,PayPal,Pending,11/3/2023
59,650,484,Credit Card,Completed,8/17/2023
60,6206,296,PayPal,Completed,11/10/2023
61,5342,308,Credit Card,Failed,12/11/2023
62,2422,149,Cash,Pending,7/17/2023
63,6726,195,PayPal,Pending,9/21/2023
64,2856,235,PayPal,Failed,10/23/2023
65,7165,275,Cash,Pending,10/31/2023
66,7358,233,PayPal,Failed,7/27/2023
67,1938,125,PayPal,Pending,12/7/2023
68,4298,128,Credit Card,Failed,8/23/2023
69,5884,107,Cash,Failed,8/8/2023
70,3414,319,Credit Card,Completed,11/1/2023
71,1307,205,Credit Card,Completed,8/17/2023
72,6241,206,PayPal,Failed,9/2/2023
73,3315,307,Credit Card,Completed,12/15/2023
74,3359,368,Credit Card,Failed,8/10/2023
75,5102,180,Cash,Failed,11/5/2023
76,5987,325,Credit Card,Pending,11/18/2023
77,2912,210,Cash,Pending,8/8/2023
78,2461,443,PayPal,Completed,7/4/2023
79,2646,371,Cash,Pending,12/25/2023
80,5062,105,PayPal,Completed,7/27/2023
81,4854,286,PayPal,Failed,8/6/2023
82,4937,73,Credit Card,Completed,12/16/2023
83,6629,232,Cash,Failed,7/28/2023
84,6397,365,Cash,Completed,8/17/2023
85,7793,261,PayPal,Pending,11/11/2023
86,2463,366,Cash,Pending,11/20/2023
87,1063,309,Credit Card,Failed,12/7/2023
88,2021,250,Credit Card,Failed,10/23/2023
89,6778,361,PayPal,Pending,11/9/2023
90,4151,431,Credit Card,Pending,7/11/2023
91,6980,368,Credit Card,Failed,11/13/2023
92,567,383,Cash,Pending,8/18/2023
93,254,155,Cash,Failed,11/21/2023
94,35,259,PayPal,Failed,10/6/2023
95,3313,61,PayPal,Completed,11/4/2023
96,7752,218,Cash,Completed,11/12/2023
97,1478,493,Credit Card,Failed,7/3/2023
98,1094,161,Credit Card,Failed,9/8/2023
99,457,141,PayPal,Pending,10/2/2023
100,1637,66,PayPal,Failed,7/11/2023
101,7739,225,Cash,Pending,8/4/2023
102,2885,475,PayPal,Pending,7/29/2023
103,3758,379,Credit Card,Completed,12/13/2023
104,3368,159,Credit Card,Completed,11/9/2023
105,3615,369,Cash,Pending,7/27/2023
106,2950,56,Cash,Completed,11/1/2023
107,1577,160,PayPal,Pending,8/28/2023
108,7966,189,PayPal,Pending,9/4/2023
109,7244,242,Credit Card,Failed,10/27/2023
110,3638,263,PayPal,Completed,12/8/2023
